Wall time,Step,Value
1686166903.1551867,100,11.706000328063965
1686166914.9875472,200,10.696999549865723
1686166926.903384,300,10.081999778747559
1686166939.061928,400,9.678000450134277
1686166951.7040946,500,9.3100004196167
1686166964.3065314,600,9.161999702453613
1686166977.0869431,700,8.90999984741211
1686166989.9908087,800,8.79800033569336
1686167002.5204697,900,8.628999710083008
1686167014.2553144,1000,8.501999855041504
1686167026.3887043,1100,8.37600040435791
1686167039.2159119,1200,8.32699966430664
1686167051.7491431,1300,8.197999954223633
1686167064.505826,1400,8.166000366210938
1686167077.080248,1500,8.062999725341797
1686167089.7647142,1600,8.081000328063965
1686167102.0077062,1700,8.017000198364258
1686167114.3995428,1800,8.017999649047852
1686167127.0639043,1900,7.973999977111816
1686167139.698171,2000,7.886000156402588
1686167152.0723665,2100,7.86299991607666
1686167164.5174088,2200,7.860000133514404
1686167176.4930978,2300,7.784999847412109
1686167188.7855914,2400,7.7870001792907715
1686167200.9024556,2500,7.802000045776367
1686167213.4179978,2600,7.7270002365112305
1686167225.8692827,2700,7.690000057220459
1686167238.1223323,2800,7.692999839782715
1686167250.71224,2900,7.709000110626221
1686167263.1020458,3000,7.639999866485596
1686167275.3918045,3100,7.645999908447266
1686167288.0938814,3200,7.6579999923706055
1686167300.345141,3300,7.61899995803833
1686167312.81265,3400,7.616000175476074
1686167325.581207,3500,7.617000102996826
1686167338.3427763,3600,7.564000129699707
1686167350.6938703,3700,7.547999858856201
1686167362.7306159,3800,7.538000106811523
1686167375.654107,3900,7.486000061035156
1686167388.046776,4000,7.546999931335449
1686167400.8802493,4100,7.480999946594238
1686167413.658098,4200,7.4629998207092285
1686167449.0362706,4300,7.435999870300293
1686167461.456744,4400,7.333000183105469
1686167474.1311662,4500,7.394000053405762
1686167487.099928,4600,7.380000114440918
1686167499.6438198,4700,7.394000053405762
1686167511.7050464,4800,7.361999988555908
1686167524.2296169,4900,7.369999885559082
1686167536.6739044,5000,7.35699987411499
1686167548.865242,5100,7.376999855041504
1686167561.6595118,5200,7.373000144958496
1686167574.5533848,5300,7.349999904632568
1686167587.2201526,5400,7.2829999923706055
1686167599.88942,5500,7.324999809265137
1686167611.8582556,5600,7.269999980926514
1686167624.1675298,5700,7.326000213623047
1686167636.6391976,5800,7.336999893188477
1686167649.4767156,5900,7.323999881744385
1686167661.900699,6000,7.291999816894531
1686167674.972962,6100,7.2829999923706055
1686167687.1901588,6200,7.290999889373779
1686167699.1571577,6300,7.2230000495910645
1686167711.9074452,6400,7.241000175476074
1686167724.6381872,6500,7.229000091552734
1686167737.6081295,6600,7.321000099182129
1686167749.995885,6700,7.26200008392334
1686167762.454892,6800,7.189000129699707
1686167775.2574,6900,7.251999855041504
1686167787.6576152,7000,7.2769999504089355
1686167799.7768466,7100,7.311999797821045
1686167812.6759725,7200,7.296999931335449
1686167825.3838902,7300,7.264999866485596
1686167838.0474575,7400,7.169000148773193
1686167850.5814114,7500,7.230000019073486
1686167862.809255,7600,7.2210001945495605
1686167875.2566354,7700,7.206999778747559
1686167887.7200153,7800,7.1579999923706055
1686167900.200734,7900,7.184000015258789
1686167912.859113,8000,7.2820000648498535
1686167925.3602471,8100,7.175000190734863
1686167937.6844854,8200,7.138000011444092
1686167950.2481823,8300,7.2129998207092285
1686167962.526682,8400,7.197999954223633
1686167974.929496,8500,7.144000053405762
1686168007.7819796,8600,7.058000087738037
1686168020.2250273,8700,7.085999965667725
1686168033.238341,8800,7.122000217437744
1686168046.237009,8900,7.091000080108643
1686168058.9190285,9000,7.0269999504089355
1686168071.7250144,9100,7.10099983215332
1686168084.5566523,9200,7.1020002365112305
1686168097.064476,9300,7.047999858856201
1686168109.5073931,9400,7.083000183105469
1686168121.9515939,9500,7.156000137329102
1686168134.983026,9600,7.13100004196167
1686168147.8017085,9700,7.064000129699707
1686168160.3323576,9800,7.10699987411499
1686168172.6540213,9900,7.021999835968018
1686168184.9147077,10000,7.0929999351501465
1686168197.4978194,10100,7.117000102996826
1686168209.942256,10200,7.107999801635742
1686168222.504552,10300,7.053999900817871
1686168235.16984,10400,7.0329999923706055
1686168247.4855533,10500,7.139999866485596
1686168259.6852584,10600,7.083000183105469
1686168271.7140439,10700,7.041999816894531
1686168284.2900994,10800,7.093999862670898
1686168297.2334297,10900,7.066999912261963
1686168309.6632268,11000,7.086999893188477
1686168322.1462357,11100,7.0289998054504395
1686168334.8532772,11200,7.025000095367432
1686168347.6079304,11300,7.065999984741211
1686168359.7016613,11400,7.084000110626221
1686168371.885793,11500,7.014999866485596
1686168384.4210675,11600,6.980999946594238
1686168396.8512404,11700,7.045000076293945
1686168409.2818735,11800,6.955999851226807
1686168422.3098447,11900,7.10699987411499
1686168434.9995215,12000,7.0370001792907715
1686168446.9149103,12100,7.065000057220459
1686168459.2073064,12200,7.034999847412109
1686168471.6202106,12300,7.091000080108643
1686168484.4151702,12400,7.076000213623047
1686168497.358081,12500,6.986999988555908
1686168510.1575603,12600,7.021999835968018
1686168522.6987033,12700,7.007999897003174
1686168557.862098,12800,6.964000225067139
1686168570.215605,12900,6.955999851226807
1686168583.5030928,13000,7.019000053405762
1686168595.95575,13100,6.900000095367432
1686168608.6807675,13200,6.953999996185303
1686168620.8274379,13300,6.986000061035156
1686168633.0929563,13400,6.997000217437744
1686168645.723874,13500,6.927000045776367
1686168658.706909,13600,6.953999996185303
1686168671.5869172,13700,6.9019999504089355
1686168684.2778788,13800,6.926000118255615
1686168696.9506311,13900,6.910999774932861
1686168709.0605187,14000,6.943999767303467
1686168721.3172905,14100,6.966000080108643
1686168733.9515417,14200,6.949999809265137
1686168746.9755495,14300,7.039999961853027
1686168759.9360616,14400,7.010000228881836
1686168772.2748184,14500,6.939000129699707
1686168784.6031349,14600,7.010000228881836
1686168796.6178732,14700,7.045000076293945
1686168809.5600348,14800,6.931000232696533
1686168822.0966923,14900,6.922999858856201
1686168834.752822,15000,6.928999900817871
1686168847.2545485,15100,6.9019999504089355
1686168859.500709,15200,6.936999797821045
1686168872.1973066,15300,6.941999912261963
1686168884.654249,15400,6.955999851226807
1686168897.3842425,15500,6.9670000076293945
1686168909.58809,15600,6.960000038146973
1686168922.277693,15700,6.959000110626221
1686168934.7021098,15800,6.932000160217285
1686168947.3528638,15900,6.914999961853027
1686168959.8967378,16000,6.929999828338623
1686168972.3391554,16100,6.998000144958496
1686168984.9619753,16200,6.939000129699707
1686168997.7932718,16300,6.896999835968018
1686169010.1175392,16400,6.8979997634887695
1686169022.856391,16500,6.9670000076293945
1686169035.3147979,16600,6.945000171661377
1686169047.7976456,16700,6.96999979019165
1686169059.9505892,16800,7.011000156402588
1686169072.267718,16900,7.004000186920166
1686169084.9179688,17000,6.982999801635742
1686169114.9144278,17100,6.9029998779296875
1686169127.8733897,17200,6.933000087738037
1686169140.2232816,17300,6.8470001220703125
1686169153.0020251,17400,6.9029998779296875
1686169165.3374612,17500,6.908999919891357
1686169177.9154809,17600,6.855000019073486
1686169190.7954957,17700,6.822000026702881
1686169203.7986348,17800,6.900000095367432
1686169216.3129637,17900,6.9120001792907715
